Name,Style,Strengths,Weaknesses
Jeka Saragih,brawler,"aggressive style, strong chin, willingness to engage","defensive vulnerabilities, lacks finesse in technique"
Anshul Jubli,striker,"powerful striking, good footwork, effective distance management","vulnerability to takedowns, limited grappling defense"
Yusaku Kinoshita,technical striker,"precision striking, high fight IQ, strong counterattacks","lack of grappling experience, sometimes overly cautious"
Elves Brener,submission specialist,"excellent grappling, strong submission skills, good at finding openings","striking defense can be lacking, struggles against powerful strikers"
Blake Bilder,pressure wrestler,"relentless pace, strong takedowns, effective ground control","limited striking range, can tire out in later rounds"
Jack Jenkins,well-rounded fighter,"versatile skill set, adaptability in fights, solid cardio","lacks standout strengths, can be outperformed by specialists"
Francisco Prado,striker,"powerful striking, effective combinations, good footwork","defensive vulnerabilities, grappling defense needs improvement"
Shannon Ross,pressure fighter,"high output volume, relentless pace, strong cardio","susceptible to counterattacks, lacks finishing ability"
Clayton Carpenter,submission specialist,"excellent grappling, high-level jiu-jitsu, strong positional control","striking defense can be exploited, limited striking range"
Themba Gorimbo,well-rounded,"versatile skill set, adaptability in fights, solid wrestling","inconsistent fight IQ, can struggle against elite competition"
Khusein Askhabov,brawler,"aggressive striking, knockout power, strong chin","defensive lapses, over-reliance on striking"
Nazim Sadykhov,striker,"powerful striking, excellent footwork, strong defensive skills","limited grappling, can be overly aggressive, struggles against relentless pressure"
Jamal Pogues,pressure wrestler,"high cardio, relentless pace, effective takedowns","vulnerable to counter-strikes, limited striking variety, can tire if takedowns are defended"
Nurullo Aliev,submission specialist,"high-level grappling, strong submission game, good positional control","stand-up striking is underdeveloped, can be taken down, relies heavily on grappling"
Carl Deaton,brawler,"aggressive fighting style, knockout power, strong chin","defensive lapses, limited technical striking, can be outmaneuvered"
Victor Martinez,technician,"well-rounded skill set, effective striking and grappling, good fight IQ","can be too cautious, sometimes lacks finishing instinct, may struggle under pressure"
Gabriella Fernandes,striker,"excellent striking accuracy, powerful kicks, strong footwork","vulnerable to grappling, limited ground game, stamina concerns"
Trevor Peek,brawler,"high pressure, relentless aggression, knockout power","defensive lapses, susceptibility to counter-strikes, cardio issues in later rounds"
Esteban Ribovics,technician,"high-level grappling, effective submissions, strategic fight IQ","striking defense can be lacking, slower pace, sometimes overly cautious"
Loik Radzhabov,pressure wrestler,"strong takedowns, relentless pace, effective ground control","limited striking versatility, can be outpaced, struggles against high-level strikers"
Farid Basharat,all-rounder,"versatile skill set, good striking and grappling balance, adaptability in fights","can lack finishing instinct, sometimes too passive, may struggle against elite specialists"
Bo Nickal,pressure wrestler,"exceptional grappling, relentless pace, strong cardio","striking defense, inexperience in striking exchanges, potential over-reliance on wrestling"
Sedriques Dumas,striker,"powerful punches, good footwork, effective counter-striking","vulnerability to takedowns, inconsistent defensive skills, can be overly aggressive"
Karl Williams,grappler,"solid ground control, effective submissions, high fight IQ","limited striking range, struggles against high-level strikers, can be slow to initiate offense"
Vitor Petrino,all-rounder,"versatile skill set, strong striking and grappling, adaptability in fights","occasional lack of focus, can be caught off guard, not a specialist in any one area"
Veronica Hardy,technical striker,"precise striking, excellent movement, strong defensive skills","limited grappling experience, can struggle against aggressive opponents, sometimes hesitant to engage"
Christian Duncan,striker,"explosive striking, powerful kicks, excellent footwork","defensive grappling, susceptibility to takedowns, limited ground game"
Gabriel Santos,submission specialist,"high-level grappling, effective submissions, strong positional control","stand-up striking, cardio management, vulnerability to strikes while pursuing submissions"
Jafel Filho,pressure wrestler,"relentless pace, effective takedowns, strong ground-and-pound","striking defense, stamina issues in later rounds, over-reliance on wrestling"
Sam Patterson,technical striker,"precise striking, good range control, solid defensive skills","grappling defense, limited power, tendency to fight at a slower pace"
Yanal Ashmouz,brawler,"high volume striking, aggressive style, knockout power","defensive lapses, lack of grappling skills, potential for cardio depletion"
Chris Duncan,brawler,"powerful striking, aggressive pace, durability","defensive vulnerabilities, limited grappling, tendency to brawl"
Vinicius Salvador,striker,"technical striking, speed, fight IQ","grappling defense, stamina issues, occasional over-reliance on striking"
Daniel Lacerda,submission specialist,"high-level grappling, slick submissions, adaptability","stand-up striking, cardio concerns, reliance on ground game"
Yana Santos,pressure fighter,"cardio, relentless pressure, clinch work","defensive striking, susceptibility to counterattacks, limited knockout power"
Jaqueline Amorim,all-rounder,"versatile skill set, strong grappling, effective striking","inconsistent fight strategy, occasional hesitation, need for improved takedown defense"
Gaston Bolanos,striker,"powerful kicks, dynamic movement, effective counter-striking","defensive grappling, stamina management, occasional overcommitment"
Bruna Brasil,technical striker,"precision striking, footwork, adaptability in exchanges","grappling defense, tendency to engage in brawls, limited ground game"
Junior Tafa,brawler,"heavy hands, aggressive pressure, knockout power","defensive vulnerabilities, limited grappling skills, cardio issues in later rounds"
Hailey Cowan,pressure wrestler,"strong takedowns, relentless pace, ground control","striking defense, susceptibility to counterattacks, stamina in striking exchanges"
Jamey-Lyn Horth,submission specialist,"high-level grappling, effective submissions, positional awareness","striking defense, reliance on grappling, limited striking output"
Marcus McGhee,brawler,"powerful striking, relentless pressure, strong chin","limited grappling skills, defensive vulnerabilities, stamina concerns"
Irina Alekseeva,striker,"technical striking, effective footwork, good fight IQ","grappling defense, susceptibility to takedowns, can be outpaced"
Trey Waters,submission specialist,"high-level grappling, excellent positional control, creative submissions","striking defense, reliance on ground game, can struggle against wrestlers"
Fernando Padilla,technician,"well-rounded skill set, effective counter-striking, solid cardio","lack of knockout power, can be too cautious, occasional hesitance in exchanges"
Ikram Aliskerov,pressure wrestler,"strong wrestling base, relentless pace, effective ground and pound","striking output can be low, can be caught in exchanges, stamina management issues"
Braxton Smith,brawler,"powerful striking, aggressive pace, resilience","limited grappling, defensive vulnerabilities, stamina concerns"
Rolando Bedoya,pressure wrestler,"strong takedowns, relentless pace, ground control","striking defense, susceptibility to counterattacks, cardio management"
Diego Lopes,submission specialist,"high-level grappling, creativity in submissions, adaptability","striking output, takedown defense, reliance on ground game"
Tainara Lisboa,striker,"technical striking, footwork, fight IQ","grappling defense, power limitations, tendency to engage in brawls"
Muhammad Naimov,all-rounder,"versatile skill set, good conditioning, adaptability","lack of specialization, inconsistent fight strategy, occasional overreliance on striking"
Muin Gafurov,striker,"powerful striking, effective counterattacks, good footwork","defensive grappling, susceptibility to takedowns"
Ketlen Souza,submission specialist,"high-level grappling, excellent submission skills, strong positional control","limited striking volume, struggles against aggressive stand-up fighters"
Jesse Butler,brawler,"high pressure, relentless pace, knockout power","defensive vulnerabilities, tendency to engage in wild exchanges"
Steve Erceg,pressure wrestler,"strong wrestling base, effective takedown ability, cardio for grappling","striking defense, reliance on grappling to win fights"
Christian Leroy Duncan,technician,"technical striking, fight IQ, adaptability in exchanges","grappling defense, potential to be outpaced by aggressive fighters"
Chepe Mariscal,Brawler,"Powerful striking, aggressive pace, high durability","Limited grappling, defensive lapses, stamina concerns"
Joshua Van,Technician,"Precision striking, well-rounded skills, strong fight IQ","Can be too cautious, lacks knockout power, may struggle against pressure"
Austen Lane,Pressure Wrestler,"Relentless takedown attempts, strong ground control, cardio for grappling","Striking defense issues, can be outpaced, limited striking variety"
Ivana Petrovic,Submission Specialist,"Exceptional grappling, high submission rate, strong positional awareness","Striking vulnerability, slow starter, reliance on grappling"
Westin Wilson,Counter Striker,"Effective counterattacks, good footwork, solid defensive skills","Passive at times, struggles against aggressive fighters, limited offensive output"
Nursulton Ruziboev,striker,"powerful striking, effective distance management, strong chin","defensive grappling, stamina issues, limited ground game"
Terrence Mitchell,pressure wrestler,"relentless pace, excellent takedown ability, strong top control","striking defense, susceptibility to submissions, cardio management"
Edgar Chairez,submission specialist,"high-level grappling, creative submission attempts, good positional awareness","striking output, vulnerability to stand-up exchanges, reliance on ground game"
Val Woodburn,brawler,"aggressive fighting style, knockout power, high pressure","defensive flaws, limited technical striking, poor fight IQ"
Azat Maksum,technician,"technical striking, effective counter-punching, solid footwork","lack of finishing ability, cautious approach, potential for overthinking"
Viktoriia Dudakova,striker,"excellent striking accuracy, powerful kicks, strong footwork","vulnerable to takedowns, limited grappling defense, can be overly aggressive"
Bassil Hafez,pressure wrestler,"relentless pace, strong grappling skills, effective ground control","limited striking range, can tire out in later rounds, susceptible to counter-strikes"
Daniel Barez,submission specialist,"high-level grappling, exceptional submission skills, good positional awareness","striking defense can be lacking, slow to initiate exchanges, may struggle against powerful strikers"
Shauna Bannon,brawler,"high volume of strikes, strong chin, ability to absorb damage","defensive gaps, can be reckless, lacks technical finesse in grappling"
Mick Parkin,technical striker,"sharp boxing skills, effective distance management, solid fight IQ","grappling can be a liability, sometimes hesitant to engage, may lack knockout power"
Jonny Parsons,brawler,"powerful striking, aggressive pace, high durability","limited grappling, defensive vulnerabilities, stamina management"
Darrius Flowers,pressure wrestler,"strong takedowns, relentless pressure, effective ground control","striking defense, reliance on wrestling, cardio in later rounds"
Assu Almabayev,submission specialist,"high-level grappling, creativity in submissions, good fight IQ","striking limitations, susceptibility to stand-up exchanges, inconsistent takedown setups"
Dennis Buzukja,technical striker,"precise striking, tactical movement, excellent footwork","grappling defense, tendency to overanalyze, occasional hesitance in exchanges"
Luana Santos,all-rounder,"versatile skill set, adaptability, solid cardio","lack of specialization, inconsistency in performance, potential for overextending"
Jose Johnson,striker,"explosive speed, powerful kicks, effective at range","defensive grappling, susceptibility to takedowns"
Montserrat Conejo Ruiz,pressure fighter,"high volume striking, relentless pace, strong cardio","defensive vulnerabilities, limited knockout power"
Isaac Dulgarian,wrestler,"strong grappling base, effective ground control, good takedown defense","striking inconsistency, limited striking range"
Jacqueline Cavalcanti,submission specialist,"high-level grappling, excellent submission transitions, strong positional awareness","striking defense, can be outpaced on feet"
Nora Cornolle,brawler,"heavy hands, aggressive fighting style, strong chin","defensive lapses, lacks technical finesse"
Caolan Loughran,striker,"excellent striking accuracy, powerful kicks, good footwork","limited grappling defense, can be too aggressive, susceptibility to counterattacks"
Morgan Charriere,brawler,"high volume of strikes, relentless pressure, strong chin","defensive lapses, vulnerability to takedowns, stamina issues in later rounds"
Manolo Zecchini,submission specialist,"high-level grappling, effective submissions, good positional control","striking defense is lacking, can struggle against strong wrestlers, slower pace"
Yanis Ghemmouri,pressure wrestler,"strong takedown ability, relentless pace, effective ground-and-pound","limited striking range, can be outpaced by agile fighters, stamina management concerns"
Bogdan Guskov,technician,"well-rounded skill set, tactical fight IQ, effective at range and close quarters","can be overly cautious, sometimes lacks urgency, struggles against aggressive opponents"
Kevin Jousset,striker,"powerful striking, good footwork, effective counterattacks","defensive grappling, stamina management, occasional overcommitment"
Kiefer Crosbie,pressure fighter,"high volume output, relentless pace, strong clinch game","vulnerability to counterstrikes, cardio in later rounds, defensive lapses"
Charles Radtke,submission specialist,"excellent grappling, high-level submissions, positional awareness","striking defense, reliance on ground game, can be outpaced"
Landon Quinones,brawler,"aggressive fighting style, knockout power, resilience","defensive deficiencies, limited technical striking, susceptibility to takedowns"
Felipe dos Santos,technician,"technical striking, fight IQ, adaptability","lack of finishing ability, cautious approach, can struggle against pressure"
Josefine Knutsson,striker,"excellent striking accuracy, powerful kicks, strong footwork","limited grappling defense, can be overly aggressive, susceptible to counterattacks"
Marnic Mann,submission specialist,"high-level grappling, exceptional submission skills, strong positional control","struggles with striking exchanges, can be taken down, relies heavily on ground game"
Charlie Campbell,brawler,"heavy hands, relentless pressure, strong chin","defensive lapses, limited technical striking, can tire quickly"
Montserrat Rendon,pressure wrestler,"aggressive takedown approach, cardio for relentless pace, effective ground-and-pound","vulnerable to striking from distance, can be outpaced, struggles against skilled strikers"
Mizuki,technician,"well-rounded skill set, high fight IQ, effective at both striking and grappling","occasionally hesitant to engage, can be outmuscled, may lack knockout power"
Melissa Dixon,striker,"powerful punches, excellent footwork, strong defensive skills","limited grappling, struggles against pressure fighters, inconsistent stamina"
Brendon Marotte,grappler,"high-level wrestling, effective submissions, strong control on the ground","struggles with striking exchanges, can be outpaced, limited striking variety"
Ravena Oliveira,brawler,"aggressive fighting style, knockout power, high resilience","defensive lapses, can be outmaneuvered, relies too much on striking"
Kaue Fernandes,technician,"sharp striking accuracy, versatile skill set, strong fight IQ","can be too cautious, struggles against aggressive opponents, limited knockout power"
Eduarda Moura,submission specialist,"expert grappling, quick transitions, high submission success rate","vulnerable to striking, slow start in fights, can be taken down easily"
Kaynan Kruschewsky,submission specialist,"exceptional grappling skills, high-level jiu-jitsu, strong positional control","limited striking range, vulnerability to stand-up exchanges, reliance on ground game"
Kevin Borjas,brawler,"powerful striking, aggressive fighting style, high pressure on opponents","defensive lapses, susceptibility to counterattacks, stamina concerns in later rounds"
Rafael Estevam,technical striker,"precise striking, excellent footwork, strong fight IQ","tendency to engage in clinch fights, limited grappling defense, occasional overreliance on striking"
Caio Machado,pressure wrestler,"relentless takedown attempts, strong cardio, ability to control pace","striking defense issues, potential fatigue from constant pressure, limited striking output"
Myktybek Orolbai,all-rounder,"versatile skill set, adaptability in fights, balanced striking and grappling","lack of specialization, inconsistent performance under pressure, may struggle against elite specialists"
Payton Talbott,striker,"powerful punches, effective footwork, good head movement","defensive grappling, stamina management, susceptibility to leg kicks"
Rodolfo Bellato,submission specialist,"excellent grappling skills, high-level Brazilian Jiu-Jitsu, strong positional control","limited striking range, can be outpaced, struggles against powerful wrestlers"
Zach Reese,pressure wrestler,"relentless takedown attempts, cardio for extended grappling, effective ground-and-pound","striking defense, vulnerability to counter-strikes, overcommits on takedowns"
Rayanne Amanda,brawler,"aggressive striking, high volume of punches, strong chin","defensive lapses, limited technical striking, struggles against tactical fighters"
Talita Alencar,technician,"precise striking, strategic fight IQ, adaptability in the cage","can be hesitant to engage, less effective in chaotic exchanges, grappling defense needs improvement"
Shamil Gaziev,pressure striker,"high volume striking, relentless forward movement, strong cardio","defensive vulnerabilities, limited grappling skills, tendency to overcommit"
Felipe Bunes,submission specialist,"excellent grappling, high-level Brazilian Jiu-Jitsu, strong positional control","striking defense issues, slower pace on feet, reliance on ground game"
Tom Nolan,technical striker,"precise striking, effective footwork, strong fight IQ","limited power, struggles against pressure fighters, average takedown defense"
Jean Silva,brawler,"explosive power, aggressive fighting style, ability to absorb damage","poor defensive technique, low output in grappling exchanges, can be reckless"
Serhiy Sidey,well-rounded fighter,"versatile skill set, adaptability in fights, solid wrestling base","inconsistent performance, lacks finishing ability, can be outpaced"
Ramon Taveras,striker,"powerful punches, excellent footwork, high fight IQ","defensive grappling, stamina management, vulnerability to leg kicks"
Thomas Petersen,submission specialist,"high-level grappling, effective transitions, strong positional control","striking defense, limited striking output, reliance on ground game"
MarQuel Mederos,brawler,"aggressive striking, knockout power, relentless pressure","defensive lapses, cardio issues in later rounds, susceptibility to counterattacks"
Hyder Amil,technical wrestler,"solid takedowns, effective ground-and-pound, good control on the mat","striking range, difficulty against high-level strikers, over-reliance on wrestling"
Bolaji Oki,kickboxer,"diverse striking arsenal, strong kicks, good distance management","grappling defense, lack of submission skills, can be outpaced by wrestlers"
Timmy Cuamba,striker,"powerful punches, excellent footwork, high output","defensive vulnerabilities, limited grappling, stamina concerns"
Carlos Prates,submission specialist,"advanced grappling, strong positional control, effective transitions","striking defense, reliance on ground game, slower pace"
Robert Bryczek,pressure wrestler,"relentless takedown attempts, cardio, cage control","striking technique, susceptibility to counterattacks, overreliance on wrestling"
Oban Elliott,technician,"precise striking, tactical awareness, adaptability","low aggression, hesitant in exchanges, potential for stalling"
Danny Barlow,brawler,"high volume striking, toughness, knockout power","poor defense, low fight IQ, vulnerability to submissions"
Zhang Mingyang,striker,"powerful striking, effective distance management, strong chin","defensive grappling, stamina issues, limited ground game"
Brendson Ribeiro,submission specialist,"high-level grappling, versatile submission arsenal, excellent positional control","striking defense, cardio in later rounds, reliance on ground game"
Carlos Vera,pressure fighter,"relentless pace, effective volume striking, strong clinch work","defensive vulnerabilities, susceptibility to counter strikes, cardio management"
Ian Machado Garry,technician,"high fight IQ, precise striking, excellent footwork","tendency to overanalyze, grappling defense under pressure, occasional inactivity"
Ronaldo Rodriguez,brawler,"aggressive fighting style, knockout power, strong mental toughness","defensive lapses, limited technical striking, vulnerability to takedowns"
Abdul-Kareem Al-Selwady,striker,"powerful striking, excellent footwork, strong defensive skills","limited grappling, can be overly aggressive, stamina concerns"
AJ Cunningham,grappler,"strong takedowns, effective ground control, submission proficiency","striking defense, limited striking output, can struggle against strikers"
Vinicius Oliveira,submission specialist,"high-level grappling, creative submissions, good positional awareness","striking vulnerability, cardio issues in later rounds, can be taken down"
Benardo Sopaj,brawler,"aggressive fighting style, high volume of strikes, resilience","poor defensive technique, lacks finesse, can be outmaneuvered"
Bekzat Almakhan,pressure wrestler,"relentless pressure, strong clinch work, effective at controlling pace","limited striking, can be countered effectively, endurance may wane"
Asu Almabayev,striker,"powerful striking, good footwork, effective distance management","defensive grappling, stamina issues, limited ground game"
Robelis Despaigne,pressure wrestler,"relentless takedown attempts, strong grappling control, cardio endurance","striking defense, susceptibility to counterattacks, limited striking variety"
Katlyn Cerminara,submission specialist,"high-level grappling, excellent submission transitions, strong positional awareness","striking power, takedown defense, reliance on ground game"
Michael Page,dynamic striker,"unorthodox striking, exceptional speed, creative movement","vulnerable to grappling, inconsistent defense, occasional overreliance on flashy techniques"
Charalampos Grigoriou,technical boxer,"precise striking, solid head movement, effective combinations","grappling defense, limited kicking game, sometimes hesitant to engage"
Mitch Ramirez,striker,"powerful punches, excellent footwork, strong defensive skills","limited grappling, can be overly aggressive, stamina issues"
Danny Silva,pressure wrestler,"relentless takedown attempts, strong ground control, cardio for extended exchanges","striking defense vulnerabilities, predictable takedown patterns, limited striking variety"
Igor Severino,submission specialist,"high-level grappling, creative submission attempts, strong positional awareness","striking defense gaps, struggles against powerful strikers, can be taken down easily"
Andre Lima,brawler,"aggressive fighting style, knockout power, high pressure on opponents","defensive liabilities, limited technical striking, poor fight IQ in high-pressure situations"
Daria Zhelezniakova,technician,"precise striking, high fight IQ, effective counter-striking","lacks knockout power, can be hesitant to engage, struggles against aggressive fighters"
Steven Nguyen,striker,"powerful punches, excellent footwork, strong defensive skills","limited grappling, can be overly aggressive, struggles against high-pressure opponents"
Luis Pajuelo,submission specialist,"high-level grappling, exceptional submission transitions, good cardio","struggles in stand-up exchanges, can be taken down, slow starter in fights"
Angel Pacheco,brawler,"high volume striking, relentless pressure, strong chin","defensive vulnerabilities, lacks technical precision, can gas out in later rounds"
Ibo Aslan,pressure wrestler,"strong takedowns, relentless pace, effective ground control","limited striking range, can be countered effectively, stamina issues in prolonged exchanges"
Connor Matthews,technician,"well-rounded skill set, strategic fight IQ, effective at distance management","can be hesitant to engage, struggles against unorthodox styles, may lack knockout power"
Melissa Mullins,striker,"powerful striking, effective footwork, strong clinch game","defensive vulnerabilities, limited grappling skills, stamina issues"
Dylan Budka,pressure wrestler,"relentless pace, strong takedowns, excellent ground control","striking defense, susceptibility to submissions, cardio management"
Cesar Almeida,submission specialist,"high-level grappling, creativity in submissions, strong positional awareness","striking defense, limited stand-up game, reliance on grappling"
Jean Matsumoto,technician,"technical striking, tactical fight IQ, adaptability in fights","lack of knockout power, sometimes overly cautious, grappling defense"
Pedro Falcao,brawler,"aggressive fighting style, knockout power, high pressure","defensive lapses, limited technique, stamina concerns in later rounds"
Victor Hugo,submission specialist,"Exceptional grappling skills, high-level Brazilian Jiu-Jitsu, ability to control opponents on the ground.","Struggles with striking exchanges, can be taken down by strong wrestlers, sometimes overly reliant on submissions."
Valter Walker,brawler,"Powerful striking, aggressive fighting style, ability to absorb damage and keep pushing forward.","Lacks technical striking finesse, vulnerable to counterattacks, cardio may diminish in later rounds."
Kayla Harrison,pressure wrestler,"Elite wrestling background, relentless pace, strong clinch game and ground control.","Striking still developing, can be outmaneuvered by agile opponents, may struggle against high-level strikers."
James Llontop,technical striker,"Sharp striking accuracy, effective footwork, strong defensive skills.","Can be hesitant to engage, lacks knockout power, may struggle against aggressive fighters."
Chris Padilla,all-rounder,"Versatile skill set, proficient in both striking and grappling, adaptable to different fight styles.","May lack specialization in one area, can be inconsistent in performance, sometimes overcomplicates strategies."
Jhonata Diniz,brawler,"powerful striking, aggressive pace, strong chin","defensive vulnerabilities, limited grappling, stamina concerns"
Ariane da Silva,submission specialist,"high-level grappling, excellent positional control, creative submissions","striking defense, takedown vulnerability, reliance on ground game"
Dione Barbosa,pressure wrestler,"relentless pressure, effective takedowns, cardio endurance","striking output, susceptibility to counterattacks, limited striking variety"
Ernesta Kareckaite,technical striker,"precise striking, footwork, fight IQ","grappling defense, tendency to engage in brawls, occasional hesitance"
Mauricio Ruffy,all-rounder,"versatile skill set, adaptability, strong clinch work","lack of specialization, inconsistent performance, occasional overthinking"
Billy Ray Goff,striker,"powerful striking, good footwork, effective counterattacks","defensive grappling, stamina management, susceptibility to leg kicks"
Tecia Pennington,pressure fighter,"high output striking, relentless pace, strong clinch work","defensive vulnerabilities, limited finishing ability, occasional overextension"
Oumar Sy,submission specialist,"excellent grappling, high-level submissions, strong positional control","striking defense, reliance on ground game, can struggle against powerful strikers"
Tuco Tokkos,brawler,"aggressive fighting style, knockout power, resilience","poor technical striking, lack of fight IQ, defensive lapses"
Mitch Raposo,technician,"well-rounded skill set, effective striking and grappling, high fight IQ","can be overly cautious, struggles against aggressive opponents, sometimes lacks finishing instinct"
Rayanne dos Santos,striker,"powerful striking, excellent footwork, high volume","defensive vulnerabilities, limited grappling, stamina concerns"
Puja Tomar,submission specialist,"high-level grappling, effective transitions, strong submission game","stand-up striking limitations, susceptibility to strikes, cardio management"
Julia Polastri,pressure wrestler,"relentless pace, strong takedowns, effective ground control","striking defense, overcommitment to takedowns, potential fatigue"
Carli Judice,brawler,"aggressive fighting style, knockout power, resilience","defensive lapses, technical striking flaws, limited fight IQ"
Xiao Long,technician,"high fight IQ, precise striking, solid defensive skills","lack of finishing ability, cautious approach, potential for inactivity"
ChangHo Lee,striker,"powerful striking, excellent footwork, high fight IQ","defensive grappling, susceptibility to leg kicks, occasional overcommitment"
Magomed Gadzhiyasulov,pressure wrestler,"relentless pace, strong takedowns, cardio endurance","limited striking variety, vulnerability to counterattacks, can be outpaced"
Felipe Lima,submission specialist,"high-level grappling, effective transitions, strong submission game","stand-up striking defense, slow to initiate strikes, can struggle against powerful wrestlers"
Shara Magomedov,brawler,"aggressive striking, knockout power, ability to absorb damage","defensive lapses, limited technical striking, can be outmaneuvered"
Antonio Trocoli,technician,"well-rounded skill set, tactical approach, effective in all ranges","can be too cautious, struggles against high-pressure fighters, sometimes lacks finishing instinct"
Rei Tsuruya,striker,"powerful striking, effective footwork, strong defense","limited grappling, can be overly aggressive, stamina concerns"
Fatima Kline,submission specialist,"high-level grappling, excellent positional control, creativity in submissions","striking defense, struggles against powerful strikers, can be taken down"
Alice Ardelean,pressure wrestler,"relentless pace, strong takedowns, effective ground and pound","vulnerable to counter-strikes, limited striking variety, cardio management issues"
King Green,brawler,"high volume striking, toughness, ability to absorb damage","defensive lapses, lacks technical finesse, can be outmaneuvered"
Jordan Vucenic,technician,"well-rounded skill set, strategic fight IQ, effective at range","can be hesitant to engage, struggles against aggressive fighters, occasional overthinking"
Mohammad Yahya,striker,"powerful striking, effective at range, good footwork","vulnerable to takedowns, limited grappling defense, inconsistent output"
Stephanie Luciano,submission specialist,"excellent grappling, high submission rate, strong positional control","struggles with stand-up exchanges, cardio issues in later rounds, can be taken down"
Quang Le,pressure wrestler,"relentless pace, strong takedown ability, effective ground and pound","limited striking versatility, can be outmaneuvered, susceptible to counterattacks"
Nikolay Veretennikov,brawler,"aggressive fighting style, knockout power, high durability","defensive gaps, low fight IQ, prone to being outpointed"
Stewart Nicoll,technician,"well-rounded skills, high fight IQ, effective at adapting strategies","lacks finishing ability, can be overly cautious, struggles against aggressive opponents"
Wang Cong,striker,"explosive striking, high accuracy, effective footwork","defensive vulnerabilities, limited grappling skills, stamina issues"
Zachary Reese,grappler,"strong takedowns, excellent ground control, submission proficiency","striking defense, limited striking output, cardio management"
Jose Daniel Medina,brawler,"powerful punches, relentless pressure, high resilience","poor technique, susceptibility to counterattacks, low fight IQ"
Kaan Ofli,technician,"precise striking, tactical awareness, versatile skill set","overly cautious, struggles against aggressive opponents, can be outpaced"
Mairon Santos,submission specialist,"advanced grappling, exceptional submission transitions, strong positional awareness","striking limitations, reliance on ground game, can be taken down"
Robert Valentin,striker,"powerful punches, excellent footwork, strong defensive skills","limited grappling, can be overly aggressive, susceptible to leg kicks"
Ryan Loder,pressure wrestler,"relentless takedown attempts, cardio, ground control","striking defense, limited striking output, can tire in later rounds"
Zygimantas Ramaska,submission specialist,"high-level grappling, creativity in submissions, strong positional awareness","striking vulnerability, can struggle against powerful strikers, slower pace"
Nathan Fletcher,all-rounder,"versatile skill set, adaptability, solid striking and grappling balance","lacks specialization, may not excel in any one area, can be inconsistent"
Yizha,brawler,"aggressive fighting style, strong chin, knockout power","defensive gaps, limited technical striking, can be reckless"
Rongzhu,striker,"powerful striking, excellent footwork, strong defensive skills","limited grappling, can be overly aggressive, stamina issues"
Ivan Erslan,pressure wrestler,"relentless takedown attempts, high cardio, effective ground control","striking defense vulnerabilities, can struggle against counter-strikers, limited submission game"
Lucas Rocha,submission specialist,"high-level grappling, excellent transitions, strong submission arsenal","striking defense weaknesses, can be taken down, relies heavily on ground game"
Cody Haddon,brawler,"aggressive fighting style, knockout power, high pressure","defensive lapses, limited technique, can gas out quickly"
Sean Sharaf,technician,"well-rounded skill set, tactical approach, effective striking and grappling","can be too cautious, struggles with high-pressure opponents, may lack finishing instinct"
Ramazan Temirov,pressure striker,"high output, relentless pace, strong chin","defensive lapses, limited grappling, stamina management"
Cameron Smotherman,technical grappler,"effective takedowns, submission skills, fight IQ","striking defense, slow starter, cardio concerns"
Carlos Leal,brawler,"powerful strikes, aggressive style, resilience","poor footwork, susceptibility to counters, limited technique"
Rafael Cerqueira,submission specialist,"advanced grappling, positional control, creativity in submissions","striking vulnerability, reliance on ground game, slow pace"
Klaudia Sygula,striking technician,"precise striking, good movement, adaptability","grappling defense, inconsistent aggression, stamina issues"
Zachary Scroggin,striker,"powerful striking, effective footwork, solid defensive skills","limited grappling, susceptibility to leg kicks, inconsistent cardio"
Mansur Abdul-Malik,submission specialist,"high-level grappling, excellent positional awareness, relentless pressure on the ground","striking defense, lack of knockout power, can be taken down"
Cortavious Romious,brawler,"aggressive fighting style, strong chin, ability to absorb damage","poor technique, limited fight IQ, struggles against technical fighters"
Reinier de Ridder,pressure wrestler,"dominant wrestling, exceptional stamina, effective ground control","striking vulnerability, slow starter, can be outpaced by faster opponents"
Roberto Romero,technician,"high fight IQ, versatile skill set, effective counter-striking","tendency to overthink, occasionally hesitant, can struggle against aggressive fighters"
Lone'er Kavanagh,striker,"powerful striking, effective distance management, strong leg kicks","limited grappling defense, can be overly aggressive, struggles against high-pressure opponents"
Jose Ochoa,submission specialist,"high-level grappling, excellent submission transitions, strong positional control","struggles with stand-up exchanges, can be taken down by stronger wrestlers, limited striking power"
Nyamjargal Tumendemberel,pressure wrestler,"relentless takedown attempts, cardio for extended grappling, effective ground and pound","vulnerable to counter-strikes, can be outpaced by faster strikers, limited striking variety"
Shi Ming,technician,"precise striking, strong defensive skills, excellent fight IQ","can be hesitant to engage, struggles against aggressive fighters, lacks knockout power"
Feng Xiaocan,brawler,"high volume striking, resilience in exchanges, strong chin","defensive lapses, can be outmaneuvered, limited grappling skills"
Kiru Sahota,striker,"powerful striking, excellent footwork, strong defensive skills","limited grappling, can be overly aggressive, stamina issues in later rounds"
DongHun Choi,pressure wrestler,"relentless pace, effective takedowns, strong ground control","susceptible to counter-strikes, limited striking variety, can tire if unable to secure takedowns"
Baergeng Jieleyisi,submission specialist,"high-level grappling, excellent submission transitions, strong positional awareness","striking defense is lacking, can struggle against powerful strikers, may rely too heavily on grappling"
